Borough,Month,Ride Count,Days/Mo,Avg Rides/Day
Bronx,04,1,30,0.03333333333333333
Bronx,05,6,31,0.1935483870967742
Bronx,06,5,30,0.16666666666666666
Bronx,07,7,31,0.22580645161290322
Bronx,08,3,31,0.0967741935483871
Bronx,09,12,30,0.4
Brooklyn,04,185,30,6.166666666666667
Brooklyn,05,203,31,6.548387096774194
Brooklyn,06,238,30,7.933333333333334
Brooklyn,07,343,31,11.064516129032258
Brooklyn,08,399,31,12.870967741935484
Brooklyn,09,458,30,15.266666666666667
Manhattan,04,2034,30,67.8
Manhattan,05,2345,31,75.64516129032258
Manhattan,06,2335,30,77.83333333333333
Manhattan,07,2728,31,88.0
Manhattan,08,2644,31,85.29032258064517
Manhattan,09,3415,30,113.83333333333333
Queens,04,18,30,0.6
Queens,05,23,31,0.7419354838709677
Queens,06,34,30,1.1333333333333333
Queens,07,26,31,0.8387096774193549
Queens,08,59,31,1.903225806451613
Queens,09,45,30,1.5
Staten Island,04,2,30,0.06666666666666667
Staten Island,05,2,31,0.06451612903225806
Staten Island,06,2,30,0.06666666666666667
Staten Island,07,2,31,0.06451612903225806
Staten Island,08,5,31,0.16129032258064516
Staten Island,09,2,30,0.06666666666666667
